そこに署名してください。,そこにあなたの名前を書いてください。
彼は靴をはくためにかがんだ。,彼は靴を足に入れるために、腰を折った。
君は計画を遣り通さなければならない。,あなたは計画を実行しなければならない。
激しい雨がその流域に洪水をもたらした。,激しい雨が、その川が流れる地域に降り、大変な被害をもたらした。
彼女は赤ん坊を起こさないかと心配した。,彼女は赤ちゃんを起こさないか、と心配した。
トムはあなたと同じくらい速く泳げる。,トムはあなたと同じくらい速く泳ぐことができる。
人は付き合っている人によって変わる。,人は、行ったり来たりする相手によって変わる。
この手紙を出すのを忘れないで下さい。,この手紙を出すのを忘れないでください。
彼らは使命を果たした。,彼らは自分のやることを果たした。
その事実が彼女の心を苦しめている。,その事実が彼女の心を苦しくしている。
その二人の兄弟は風采がまったく違う。,その二人の兄と弟は、顔や姿がほとんど違う。
私はぬかるんだ斜面をずるずると滑り下りた。,私は、雪と土で歩くことができにくい坂の道を滑って降りた。
彼は彼らのけんかを止めさせそうとした。,彼は彼らの喧嘩を止めさせそうとした。
自分自身を信じれば自分の選んだ全てを受け入れられる。,自分自身を信じれば、自分の選んだ全てを受けることができる。
あなたは仕事に精を出すべきだ。,あなたは仕事を熱を入れてやるべきだ。
彼からずいぶん長い間便りがない。,彼から非常に長い間、手紙が来ない。
この漢字はどういう意味ですか。,この漢字はどう言う意味ですか。
そのモーテルは４００人もの宿泊客を泊められる。,その車で入るホテルは、４００人もの客が利用できる。
やる気があれば、不可能なことはない。,したい気持ちがあれば、不可能なことはない。
この価格には、運賃は含まれていません。,この価格には、交通費は含まれていません。
行かなくてきみは賢明だった。,行かなくて、あなたは賢かった。
このスープはほんのわずか塩がたりない。,このスープは、ちょっとばかり塩が不足している。
彼はこのビジネスで名声を築いた。,彼はこの仕事で有名になった。
私はこの計画を実施するつもりです。,私はこの計画を実行するつもりです。
彼らは雇い主に忠実だ。,彼らは経営者に大事にされている。
彼女は慈悲を懇願した。,彼女は許してもらいたいと言った。
衣服を大事にすれば、ずっと永く保つ。,着るものは、大事にすれば、ずっと長く持つ。
彼は私たちを仲違いさせた。,彼は私たちの仲を割った。
ケイトを待っている間にボブとメアリーを見かけた。,ケイトを待っている間にボブとメアリーをちょっと見た。
そんな事君が言い出すとはおもわなかったよ。,そんな事、あなたが言い出すとは、思わなかったよ。
彼は夜更かしが習慣になっている。,彼は、夜遅くなるまで起きているのが、習慣になっている。
私たちのところに、不意の来客があった。,私たちのところに、思ってもいない客があった。
彼女は、あなたが考えているような女の子ではない。,彼女は、あなたが考えているような若い女性ではない。
怒った人民は王からすべての権力を奪ってしまった。,怒った支配されていた人たちは、王から全ての力を取ってしまった。
近代技術は多くの物を与えてくれる。,今の時代の技術は、多くの物を与えてくれる。
衣食住が生活の基本です。,着る・食べる・住むの３つが生活の基本です。
うちは新聞を購読しています。,うちは新聞を読んでいます。
コーポレートガバナンスや説明責任を強化している。,企業経営をよく見ることや説明責任を強くしている。
合図するまで、なかにいなさい。,合図するまで、中にいなさい。
その国は鉱産物が豊富です。,その国には、地下から得られるエネルギー物がたくさんあります。
彼女は盛装をしてパーティーに出席した。,彼女はきれいな着物をきてパーティーに参加した。
勇敢さは素晴らしい美徳である。,豊かな力で人を助ける行動には、すばらしい運が待っている。
あらゆる機会を利用して英語の練習をすべきである。,あらゆる機会を利用して英語の練習をやるべきである。
先回は安産でした。,前の回は問題なく子供が生まれた。
彼女はピアニストで、妹は歌手です。,彼女はピアノを弾く人で、妹は歌手です。
私の母は夜めったにテレビを見ない。,私の母は夜、ほとんどテレビを見ない。
二つの谷に挟まれた平地に家をたてる。,２つの川などの間に挟まれた土地に家作る。
彼は国民的ヒーローになった。,彼は国民的な有名人になった。
水牛は牛に似ている。,水牛は、水のある場所に住む牛に似た動物だ。
時がどんどんたってゆく。,時がどんどんたって行く。
彼は私の肩をいっぱつ打った。,彼は私の肩を１回叩いた。
多くの子どもにとって暗闇は恐怖のまとである。,多くの子供にとり、くらいところほど、怖いものはないのである。
月賦によって人々は昔よりたくさんのものを購入できる。,月ごとに金を払う方法で、人々は昔より多くの物を買うことができる。
十中八九彼が選ばれるだろう。,ほとんど間違いなく彼が選ばれるだろう。
彼は金持ちだが一生懸命働いている。,彼は金持ちだが一生をかけて働いている。
